Type,Subtype,Replicate,ID,OverallSurvivalDays,status
AU,AU1,6,AU1_6,2,1
AU,AU1,7,AU1_7,2,1
AU,AU1,8,AU1_8,2,1
AU,AU1,9,AU1_9,3,1
AU,AU1,10,AU1_10,3,1
AU,AU2,1,AU2_1,2,1
AU,AU2,2,AU2_2,2,1
AU,AU2,3,AU2_3,2,1
AU,AU2,4,AU2_4,2,1
AU,AU2,5,AU2_5,2,1
AU,AU2,6,AU2_6,2,1
AU,AU2,7,AU2_7,2,1
AU,AU2,8,AU2_8,2,1
AU,AU2,9,AU2_9,2,1
AU,AU2,10,AU2_10,2,1
AU,AU2,11,AU2_11,2,1
AU,AU2,12,AU2_12,3,1
AU,AU2,13,AU2_13,3,1
AU,AU2,14,AU2_14,4,1
AU,AU2,15,AU2_15,5,1
AU,AU2,16,AU2_16,6,0
AU,AU2,17,AU2_17,6,0
AU,AU2,18,AU2_18,6,0
AU,AU2,19,AU2_19,6,0
AU,AU2,20,AU2_20,7,0
AU,AU3,1,AU3_1,1,1
AU,AU3,2,AU3_2,2,1
AU,AU3,3,AU3_3,2,1
AU,AU3,4,AU3_4,2,1
AU,AU3,5,AU3_5,2,1
AU,AU3,6,AU3_6,2,1
AU,AU3,7,AU3_7,3,1
AU,AU3,8,AU3_8,3,1
AU,AU3,9,AU3_9,3,1
AU,AU3,10,AU3_10,3,1
AU,AU3,11,AU3_11,3,1
AU,AU3,12,AU3_12,4,1
AU,AU3,13,AU3_13,4,1
AU,AU3,14,AU3_14,5,0
AU,AU3,15,AU3_15,6,1
AU,AU3,16,AU3_16,6,1
AU,AU3,17,AU3_17,7,1
AU,AU3,18,AU3_18,7,0
AU,AU3,19,AU3_19,7,0
AU,AU3,20,AU3_20,7,0
AU,AU4,1,AU4_1,1,1
AU,AU4,2,AU4_2,2,1
AU,AU4,3,AU4_3,2,1
AU,AU4,4,AU4_4,2,1
AU,AU4,5,AU4_5,2,1
AU,AU4,6,AU4_6,3,1
AU,AU4,7,AU4_7,3,1
AU,AU4,8,AU4_8,3,1
AU,AU4,9,AU4_9,3,1
AU,AU4,10,AU4_10,3,1
AU,AU4,11,AU4_11,4,1
AU,AU4,12,AU4_12,5,1
AU,AU4,13,AU4_13,5,1
AU,AU4,14,AU4_14,5,1
AU,AU4,15,AU4_15,5,1
AU,AU4,16,AU4_16,5,0
AU,AU4,17,AU4_17,7,0
AU,AU4,18,AU4_18,7,0
AU,AU4,19,AU4_19,7,0
AU,AU4,20,AU4_20,7,0
AU,AU5,1,AU5_1,1,1
AU,AU5,2,AU5_2,2,1
AU,AU5,3,AU5_3,2,1
AU,AU5,4,AU5_4,2,1
AU,AU5,5,AU5_5,2,1
AU,AU5,6,AU5_6,2,1
AU,AU5,7,AU5_7,2,1
AU,AU5,8,AU5_8,2,1
AU,AU5,9,AU5_9,2,1
AU,AU5,10,AU5_10,3,1
AU,AU5,11,AU5_11,3,1
AU,AU5,12,AU5_12,3,1
AU,AU5,13,AU5_13,3,1
AU,AU5,14,AU5_14,3,1
AU,AU5,15,AU5_15,3,1
AU,AU5,16,AU5_16,4,1
AU,AU5,17,AU5_17,5,1
AU,AU5,18,AU5_18,5,1
AU,AU5,19,AU5_19,7,1
AU,AU5,20,AU5_20,7,1
